# estimate result
# dataset path: /home/lihua/Document/kitti_dataset/00/
# time: Wed Dec 30 11:34:31 2020
# timestamp tx ty tz qx qy qz qw
58.061270 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
58.164910 -0.0014 0.0048 0.0844 0.0012 0.0007 -0.0001 1.0000
58.268620 0.0098 -0.0004 0.1767 0.0016 0.0017 0.0002 1.0000
58.372240 0.0039 -0.0013 0.2911 0.0022 0.0037 0.0003 1.0000
58.475980 0.0169 -0.0036 0.4390 0.0031 0.0064 0.0007 1.0000
58.579590 0.0232 -0.0064 0.5933 0.0037 0.0102 0.0006 0.9999
58.683350 0.0340 -0.0019 0.7726 0.0041 0.0151 0.0005 0.9999
58.786950 0.0522 -0.0086 0.9581 0.0041 0.0210 0.0001 0.9998
58.890710 0.0784 -0.0021 1.1689 0.0046 0.0280 -0.0006 0.9996
58.994310 0.1038 -0.0098 1.4003 0.0040 0.0363 -0.0008 0.9993
59.098080 0.1322 -0.0125 1.6199 0.0017 0.0462 -0.0001 0.9989
59.201790 0.1806 -0.0151 1.8632 -0.0005 0.0574 0.0000 0.9984
59.305420 0.2423 -0.0167 2.1245 -0.0009 0.0694 -0.0004 0.9976
59.409140 0.3008 -0.0188 2.3830 -0.0006 0.0831 0.0008 0.9965
59.513100 0.3928 -0.0198 2.6432 -0.0006 0.0982 0.0023 0.9952
59.616750 0.4775 -0.0290 2.9440 -0.0012 0.1156 0.0044 0.9933
59.720500 0.6155 -0.0285 3.2139 -0.0018 0.1335 0.0072 0.9910
59.824230 0.7268 -0.0372 3.5052 -0.0043 0.1547 0.0087 0.9879
59.928100 0.8524 -0.0296 3.7885 -0.0070 0.1773 0.0083 0.9841
60.032120 1.0199 -0.0239 4.1016 -0.0092 0.2012 0.0064 0.9795
60.135780 1.1677 -0.0328 4.3801 -0.0109 0.2273 0.0049 0.9738
60.239770 1.3798 -0.0310 4.6563 -0.0122 0.2530 0.0061 0.9674
60.343300 1.6323 -0.0147 4.9190 -0.0123 0.2792 0.0074 0.9601
60.447190 1.8818 -0.0152 5.2044 -0.0118 0.3077 0.0090 0.9514
60.551000 2.1644 -0.0013 5.4723 -0.0099 0.3362 0.0088 0.9417
60.654780 2.4535 0.0029 5.7333 -0.0075 0.3661 0.0078 0.9305
60.758610 2.7669 0.0064 5.9542 -0.0068 0.3959 0.0053 0.9183
60.862280 3.1234 0.0430 6.2217 -0.0057 0.4266 0.0046 0.9044
60.966000 3.4839 0.0280 6.4296 -0.0073 0.4562 0.0055 0.8898
61.069630 3.8908 0.0236 6.5983 -0.0073 0.4833 0.0076 0.8754
61.173270 4.3343 0.0307 6.8050 -0.0069 0.5099 0.0097 0.8601
61.276850 4.7702 0.0305 6.9455 -0.0063 0.5346 0.0110 0.8450
61.380460 5.2780 0.0444 7.1324 -0.0051 0.5579 0.0113 0.8298
61.483950 5.7355 0.0464 7.2220 -0.0039 0.5784 0.0100 0.8156
61.587570 6.2581 0.0551 7.3513 -0.0035 0.5977 0.0089 0.8017
61.691060 6.7579 0.0656 7.4670 -0.0037 0.6150 0.0093 0.7885
61.794550 7.3404 0.0747 7.5464 -0.0042 0.6294 0.0097 0.7770
61.897900 7.8924 0.0813 7.6419 -0.0045 0.6421 0.0103 0.7666
62.002740 8.5080 0.0871 7.7443 -0.0045 0.6526 0.0107 0.7576
62.104790 9.1248 0.0982 7.8116 -0.0039 0.6607 0.0115 0.7506
62.208130 9.7435 0.1052 7.8539 -0.0033 0.6667 0.0127 0.7452
62.311500 10.4345 0.1128 7.9263 -0.0032 0.6714 0.0133 0.7409
62.414860 11.0784 0.1216 7.9753 -0.0030 0.6750 0.0130 0.7377
62.518230 11.7538 0.1344 8.0349 -0.0025 0.6780 0.0128 0.7349
62.621740 12.4477 0.1453 8.0855 -0.0018 0.6804 0.0129 0.7327
62.725220 13.1560 0.1652 8.1358 -0.0012 0.6819 0.0128 0.7313
62.828700 13.8615 0.1669 8.1937 -0.0016 0.6831 0.0127 0.7302
62.932200 14.5849 0.1858 8.2218 -0.0017 0.6836 0.0131 0.7297
63.035810 15.3455 0.1823 8.2882 -0.0028 0.6842 0.0139 0.7292
63.139420 16.1072 0.2085 8.3412 -0.0034 0.6844 0.0148 0.7289
63.242920 16.8929 0.2117 8.4007 -0.0037 0.6843 0.0151 0.7290
63.346530 17.6315 0.2054 8.4181 -0.0033 0.6837 0.0149 0.7296
63.450150 18.4306 0.2243 8.4944 -0.0015 0.6832 0.0141 0.7301
63.553890 19.2714 0.2399 8.5529 -0.0000 0.6826 0.0111 0.7307
63.657500 20.1159 0.2461 8.6060 0.0007 0.6822 0.0092 0.7311
63.761250 20.9560 0.2433 8.6860 -0.0006 0.6823 0.0086 0.7310
63.864990 21.8014 0.2600 8.7472 -0.0027 0.6823 0.0109 0.7310
63.968620 22.6980 0.2736 8.8206 -0.0060 0.6824 0.0145 0.7308
64.072220 23.5893 0.2865 8.8743 -0.0070 0.6822 0.0172 0.7309
64.175970 24.4836 0.3091 8.9410 -0.0048 0.6822 0.0176 0.7309
64.279620 25.3854 0.3289 9.0199 -0.0016 0.6819 0.0157 0.7313
64.383180 26.2995 0.3479 9.0780 0.0018 0.6813 0.0140 0.7318
64.486930 27.2174 0.3546 9.1567 0.0032 0.6810 0.0122 0.7321
64.590710 28.1899 0.3706 9.2444 0.0038 0.6808 0.0119 0.7324
64.694300 29.1502 0.3757 9.3323 0.0022 0.6806 0.0114 0.7325
64.797940 30.1117 0.3755 9.4097 -0.0007 0.6805 0.0134 0.7326
64.901640 31.0960 0.3839 9.4906 -0.0037 0.6805 0.0155 0.7326
65.005340 32.0931 0.4066 9.5632 -0.0047 0.6807 0.0169 0.7324
65.108990 33.1109 0.4302 9.6347 -0.0034 0.6806 0.0166 0.7325
65.212830 34.1031 0.4426 9.7154 -0.0014 0.6807 0.0160 0.7324
65.316220 35.1530 0.4715 9.7781 0.0007 0.6801 0.0150 0.7330
65.419850 36.1949 0.4846 9.8505 0.0015 0.6798 0.0148 0.7332
65.523620 37.2014 0.4973 9.9436 0.0013 0.6797 0.0148 0.7333
65.627110 38.2349 0.5020 10.0277 0.0007 0.6793 0.0167 0.7337
65.730790 39.2506 0.5123 10.0857 -0.0005 0.6782 0.0178 0.7347
65.834430 40.2828 0.5196 10.1684 0.0007 0.6774 0.0179 0.7354
65.938040 41.3042 0.5391 10.2746 0.0034 0.6770 0.0163 0.7358
66.041660 42.3651 0.5416 10.3760 0.0045 0.6765 0.0145 0.7363
66.145270 43.3822 0.5489 10.4670 0.0048 0.6760 0.0140 0.7368
66.248940 44.4210 0.5531 10.5901 0.0035 0.6755 0.0136 0.7372
66.352630 45.4729 0.5482 10.6767 0.0016 0.6750 0.0146 0.7377
66.456240 46.5441 0.5578 10.7870 -0.0009 0.6744 0.0156 0.7382
66.559860 47.5708 0.5629 10.8944 -0.0028 0.6741 0.0164 0.7385
66.663590 48.6219 0.5819 10.9936 -0.0037 0.6737 0.0156 0.7388
66.767240 49.6622 0.5870 11.1152 -0.0035 0.6738 0.0151 0.7387
66.870960 50.6840 0.6031 11.2133 -0.0023 0.6738 0.0149 0.7388
66.974570 51.6999 0.5987 11.2948 -0.0016 0.6737 0.0136 0.7389
67.078310 52.7289 0.6127 11.4010 0.0003 0.6737 0.0125 0.7389
67.181930 53.7282 0.6115 11.5290 0.0008 0.6738 0.0121 0.7388
67.285670 54.7445 0.6101 11.6302 -0.0001 0.6739 0.0126 0.7387
67.389280 55.7796 0.6177 11.7399 -0.0021 0.6741 0.0123 0.7385
67.492970 56.8184 0.6200 11.8295 -0.0032 0.6741 0.0123 0.7385
67.596630 57.8157 0.6300 11.9293 -0.0040 0.6742 0.0122 0.7385
67.700270 58.8483 0.6403 12.0270 -0.0057 0.6745 0.0130 0.7382
67.803900 59.8676 0.6550 12.1231 -0.0083 0.6746 0.0137 0.7380
67.907590 60.8668 0.6763 12.2387 -0.0091 0.6750 0.0128 0.7377
68.011290 61.8899 0.6943 12.3286 -0.0081 0.6748 0.0099 0.7378
68.114970 62.8859 0.7093 12.4304 -0.0072 0.6748 0.0071 0.7379
68.218650 63.9138 0.7191 12.5378 -0.0073 0.6751 0.0055 0.7376
68.322220 64.9106 0.7272 12.6485 -0.0080 0.6754 0.0040 0.7374
68.425940 65.9036 0.7435 12.7372 -0.0079 0.6754 0.0032 0.7374
68.529590 66.8937 0.7337 12.8181 -0.0089 0.6754 0.0031 0.7374
68.633170 67.8964 0.7390 12.9298 -0.0099 0.6755 0.0039 0.7372
68.736910 68.9235 0.7450 13.0267 -0.0103 0.6756 0.0049 0.7372
68.840530 69.9518 0.7538 13.1212 -0.0104 0.6755 0.0051 0.7373
