# ground truth
# dataset path: /home/lihua/Document/kitti_dataset/00/
# time: Wed Dec 30 11:34:31 2020
# timestamp tx ty tz qx qy qz qw
58.061270 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
58.164910 0.0012 -0.0009 0.0798 0.0010 0.0006 0.0001 1.0000
58.268620 0.0047 -0.0033 0.1787 0.0016 0.0017 0.0002 1.0000
58.372240 0.0083 -0.0063 0.2982 0.0021 0.0034 0.0003 1.0000
58.475980 0.0151 -0.0096 0.4372 0.0030 0.0061 0.0006 1.0000
58.579590 0.0243 -0.0123 0.5951 0.0037 0.0098 0.0007 0.9999
58.683350 0.0373 -0.0127 0.7729 0.0039 0.0145 0.0006 0.9999
58.786950 0.0536 -0.0109 0.9670 0.0041 0.0203 0.0001 0.9998
58.890710 0.0720 -0.0087 1.1756 0.0045 0.0273 -0.0006 0.9996
58.994310 0.1024 -0.0092 1.3975 0.0042 0.0354 -0.0006 0.9994
59.098080 0.1384 -0.0128 1.6363 0.0018 0.0449 0.0002 0.9990
59.201790 0.1848 -0.0153 1.8856 -0.0007 0.0562 0.0001 0.9984
59.305420 0.2372 -0.0131 2.1401 -0.0010 0.0682 -0.0002 0.9977
59.409140 0.2988 -0.0140 2.3997 -0.0007 0.0813 0.0011 0.9967
59.513100 0.3840 -0.0134 2.6688 -0.0007 0.0965 0.0025 0.9953
59.616750 0.4871 -0.0135 2.9440 -0.0010 0.1133 0.0047 0.9935
59.720500 0.5885 -0.0151 3.2228 -0.0017 0.1315 0.0075 0.9913
59.824230 0.7224 -0.0145 3.5119 -0.0038 0.1520 0.0092 0.9883
59.928100 0.8469 -0.0130 3.8054 -0.0068 0.1740 0.0094 0.9847
60.032120 1.0132 -0.0087 4.1017 -0.0089 0.1977 0.0078 0.9802
60.135780 1.2004 -0.0045 4.3952 -0.0103 0.2229 0.0062 0.9748
60.239770 1.3793 -0.0006 4.6826 -0.0114 0.2487 0.0071 0.9685
60.343300 1.6172 0.0018 4.9610 -0.0120 0.2755 0.0091 0.9612
60.447190 1.8793 0.0038 5.2314 -0.0116 0.3034 0.0108 0.9527
60.551000 2.1156 0.0116 5.4909 -0.0101 0.3318 0.0110 0.9432
60.654780 2.4190 0.0235 5.7399 -0.0073 0.3612 0.0103 0.9324
60.758610 2.6956 0.0362 5.9802 -0.0059 0.3911 0.0084 0.9203
60.862280 3.0519 0.0460 6.2103 -0.0057 0.4214 0.0076 0.9068
60.966000 3.4384 0.0540 6.4266 -0.0066 0.4508 0.0085 0.8926
61.069630 3.8029 0.0607 6.6212 -0.0064 0.4785 0.0110 0.8780
61.173270 4.2423 0.0640 6.8016 -0.0060 0.5050 0.0135 0.8630
61.276850 4.6986 0.0691 6.9680 -0.0054 0.5300 0.0150 0.8478
61.380460 5.1396 0.0772 7.1157 -0.0044 0.5532 0.0155 0.8329
61.483950 5.6304 0.0876 7.2516 -0.0027 0.5742 0.0143 0.8186
61.587570 6.1220 0.0962 7.3736 -0.0020 0.5938 0.0134 0.8045
61.691060 6.6643 0.1012 7.4822 -0.0025 0.6111 0.0138 0.7914
61.794550 7.2284 0.1060 7.5753 -0.0030 0.6261 0.0145 0.7796
61.897900 7.7951 0.1122 7.6577 -0.0034 0.6388 0.0151 0.7692
62.002740 8.4041 0.1198 7.7236 -0.0030 0.6494 0.0164 0.7602
62.104790 9.0100 0.1298 7.7823 -0.0021 0.6575 0.0175 0.7532
62.208130 9.6386 0.1399 7.8368 -0.0018 0.6640 0.0185 0.7475
62.311500 10.2891 0.1510 7.8928 -0.0018 0.6688 0.0190 0.7432
62.414860 10.9544 0.1634 7.9442 -0.0014 0.6724 0.0190 0.7400
62.518230 11.6340 0.1762 7.9908 -0.0010 0.6755 0.0186 0.7371
62.621740 12.3311 0.1886 8.0364 -0.0003 0.6780 0.0186 0.7348
62.725220 13.0441 0.1999 8.0795 0.0002 0.6795 0.0185 0.7334
62.828700 13.7705 0.2118 8.1251 0.0002 0.6806 0.0188 0.7325
62.932200 14.5156 0.2238 8.1703 -0.0001 0.6813 0.0193 0.7318
63.035810 15.2790 0.2387 8.2215 -0.0010 0.6817 0.0199 0.7314
63.139420 16.0606 0.2561 8.2711 -0.0018 0.6819 0.0211 0.7311
63.242920 16.8539 0.2767 8.3203 -0.0019 0.6818 0.0215 0.7312
63.346530 17.6611 0.2993 8.3718 -0.0012 0.6812 0.0214 0.7318
63.450150 18.4818 0.3246 8.4232 0.0005 0.6805 0.0207 0.7324
63.553890 19.3111 0.3472 8.4782 0.0021 0.6801 0.0180 0.7329
63.657500 20.1589 0.3668 8.5360 0.0029 0.6800 0.0157 0.7330
63.761250 21.0219 0.3835 8.5973 0.0023 0.6800 0.0149 0.7331
63.864990 21.9046 0.4013 8.6564 -0.0002 0.6800 0.0171 0.7330
63.968620 22.7968 0.4196 8.7172 -0.0038 0.6801 0.0209 0.7328
64.072220 23.7014 0.4410 8.7768 -0.0050 0.6801 0.0234 0.7328
64.175970 24.6118 0.4656 8.8357 -0.0031 0.6799 0.0242 0.7329
64.279620 25.5293 0.4932 8.8934 0.0005 0.6795 0.0230 0.7333
64.383180 26.4590 0.5172 8.9552 0.0041 0.6791 0.0211 0.7337
64.486930 27.4015 0.5348 9.0220 0.0058 0.6787 0.0196 0.7341
64.590710 28.3634 0.5473 9.0921 0.0061 0.6785 0.0191 0.7344
64.694300 29.3349 0.5581 9.1679 0.0046 0.6781 0.0188 0.7347
64.797940 30.3204 0.5709 9.2433 0.0021 0.6781 0.0203 0.7347
64.901640 31.3225 0.5885 9.3186 -0.0011 0.6781 0.0226 0.7346
65.005340 32.3301 0.6078 9.3813 -0.0025 0.6784 0.0241 0.7343
65.108990 33.3360 0.6310 9.4468 -0.0012 0.6786 0.0242 0.7341
65.212830 34.3480 0.6517 9.5096 0.0009 0.6787 0.0233 0.7340
65.316220 35.3665 0.6705 9.5773 0.0027 0.6786 0.0221 0.7342
65.419850 36.3972 0.6859 9.6444 0.0039 0.6785 0.0222 0.7343
65.523620 37.4333 0.7006 9.7163 0.0038 0.6782 0.0223 0.7345
65.627110 38.4800 0.7198 9.7849 0.0033 0.6778 0.0240 0.7349
65.730790 39.5311 0.7371 9.8598 0.0020 0.6770 0.0251 0.7355
65.834430 40.5808 0.7548 9.9361 0.0027 0.6764 0.0252 0.7361
65.938040 41.6277 0.7749 10.0103 0.0060 0.6757 0.0241 0.7367
66.041660 42.6777 0.7857 10.0885 0.0074 0.6752 0.0222 0.7372
66.145270 43.7343 0.7911 10.1674 0.0077 0.6748 0.0217 0.7376
66.248940 44.7967 0.7984 10.2526 0.0065 0.6742 0.0216 0.7382
66.352630 45.8607 0.8093 10.3350 0.0046 0.6738 0.0225 0.7386
66.456240 46.9244 0.8208 10.4210 0.0023 0.6732 0.0235 0.7391
66.559860 47.9828 0.8350 10.5057 0.0004 0.6728 0.0242 0.7395
66.663590 49.0363 0.8524 10.5929 -0.0007 0.6725 0.0236 0.7397
66.767240 50.0825 0.8724 10.6763 -0.0005 0.6725 0.0233 0.7397
66.870960 51.1254 0.8904 10.7594 0.0007 0.6726 0.0230 0.7396
66.974570 52.1620 0.9050 10.8444 0.0016 0.6727 0.0216 0.7396
67.078310 53.1988 0.9180 10.9258 0.0036 0.6727 0.0207 0.7397
67.181930 54.2325 0.9276 11.0099 0.0041 0.6726 0.0200 0.7397
67.285670 55.2661 0.9356 11.0938 0.0032 0.6728 0.0203 0.7395
67.389280 56.2965 0.9415 11.1827 0.0014 0.6730 0.0206 0.7394
67.492970 57.3213 0.9480 11.2718 -0.0000 0.6732 0.0204 0.7392
67.596630 58.3451 0.9589 11.3612 -0.0008 0.6733 0.0201 0.7391
67.700270 59.3684 0.9746 11.4537 -0.0026 0.6735 0.0207 0.7389
67.803900 60.3955 0.9961 11.5453 -0.0052 0.6737 0.0216 0.7386
67.907590 61.4209 1.0210 11.6367 -0.0064 0.6739 0.0210 0.7385
68.011290 62.4380 1.0441 11.7275 -0.0056 0.6742 0.0181 0.7383
68.114970 63.4558 1.0667 11.8164 -0.0044 0.6743 0.0156 0.7383
68.218650 64.4751 1.0851 11.9065 -0.0044 0.6746 0.0138 0.7381
68.322220 65.4939 1.0981 11.9970 -0.0054 0.6748 0.0123 0.7379
68.425940 66.5137 1.1124 12.0866 -0.0055 0.6749 0.0109 0.7378
68.529590 67.5333 1.1259 12.1733 -0.0061 0.6749 0.0110 0.7378
68.633170 68.5613 1.1382 12.2601 -0.0071 0.6749 0.0117 0.7378
68.736910 69.5889 1.1525 12.3368 -0.0076 0.6747 0.0127 0.7379
68.840530 70.6186 1.1693 12.4115 -0.0077 0.6745 0.0130 0.7381
68.944270 71.6519 1.1872 12.4913 -0.0079 0.6746 0.0126 0.7380
